word,translate
и,and
в,in; at; into; to; for; on; within
не,not
он,he; it (masculine inanimate nouns)
на,"on (place); on (day/week); on (transport means); to; onto, upon; at"
я,I
что,what
с,"with; from; since; off, remove from"
а,"and; but, yet; oh, ah, oh well"
это,this is; that is; it
она,"she, it, he, she, it, he, she"
по,"along, down; on the subject of; by the means of; hit or punch somewhere; after a age"
но,but
они,they
к,"towards, to; visit someone"
у,"(possession); by, at (place); with; from (take, borrow)"
из,from; out of
мы,we
за,"behind; at (location); at (direction); for (in support of); for (mistake for); for (reason); for (duration); following after, chasing after; over (a certain age); beyond, on the far side of; out of (location)"
ты,you
вы,you (plural); you (formal)
так,"so, thus, like this, this way, then"
же,"and, as for, but"
от,"from (away); from (part of a whole); from (cause); from (distance); from (someone); from (range); for, against a purpose"
о,about; of; on; against
один,"one, 1; alone"
ещё,"still, yet, as far back as, as long ago as, only, some more"
бы,would
только,"only; just, simply"
себя,"ourselves, yourselves, himself, herself, itself, yourself, myself, themselves"
для,for
уже,"already, by this time, by now, now, no longer"
когда,"when, while, as"
кто,who
вот,"there, here, there is"
да,yes
если,if
до,to (direction); to (distance); before; until; up to (limit)
или,or
нет,no; not
ни,neither; no
даже,even
под,"under; below; underneath; to go down/below; to go/put under something; (impression, affection)"
где,where
чтобы,so that; in order to
ну,well
два,"two, 2"
чём,Prepositional of 'что'; than; how
там,"there, later, by and by"
ничто,"nothing, nought"
потом,"afterwards, then, later on, later"
очень,"very, very much, greatly"
ли,"whether, if"
при,at; in the presence of; in the time of; with; (circumstantial)
надо,it is necessary; need
без,without; to (time)
теперь,"now, nowadays, today"
сейчас,now; soon; at once
тоже,"also, as well, too"
после,"after, afterwards, later"
можно,"one can, it is possible; may I, can I"
через,"across, over; through; through, using; in (time) (no more than)"
здесь,"here, with us, in this country, about it, in it, at this point"
тогда,then
ведь,you know; after all; even
почему,why
потому,because
просто,"it is simple, it is easy, simply; just, just only, only"
об,"about, concerning"
вдруг,"suddenly, all of a sudden"
никто,"nobody, no one"
перед,in front of +instrumental case
над,"above, over"
конечно,certainly; of course
три,"three, 3"
несколько,"some, a few"
пока,bye (informal); while
более,more
хорошо,"it is good, it is pleasant, well, good"
хотя,"though, although, even though"
всегда,always
куда,wherever
сразу,immediately
совсем,completely; at all
почти,"almost, nearly"
снова,again
между,between
много,"a lot of, many"
лишь,"only, as soon as"
опять,again
однако,"however, though, but"
про,"about, for"
никогда,"never, ever"
будто,"as if, as though"
именно,"exactly, namely, to wit, that is, just"
вообще,"in general, generally, on the whole, always"
сегодня,today
вместе,together
таки,"indeed, after all"
чуть,nearly; a little
сколько,"how much, how many"
хоть,"though, even; you may, might as well"
зачем,"what for, why"
словно,"as if, like"
наконец,finally
назад,"ago; back, backwards"
быстро,"fast, quickly, rapidly, with speed"
давно,"long ago, for a long time"
прямо,"straight, frankly, openly, bluntly, real, really, exactly, downright"
долго,a long time
нельзя,can't
оно,"it, he, she"
кроме,"except, besides"
ж,then
совершенно,totally
поэтому,"so, therefore, that is why"
точно,exact
среди,"among, amongst, amidst, in the middle"
также,"also, as well, too, either"
ко,"to, towards; by, for"
вокруг,around
иногда,"sometimes, at times"
затем,"then, after that, thereupon, upon which, subsequently, for that reason"
оба,both
откуда,from where
четыре,"four, 4"
особенно,"especially, particularly, unusually, more than usual"
вроде,sort of
например,"for example, for instance"
туда,there
действительно,"really, actually"
мало,"little, few, not enough"
равно,"is indifferent, alike, in like manner, nor; equally"
сюда,here
слишком,too (much)
чтоб,to
десять,"ten, 10"
двадцать,twenty
видно,"evidently, obviously, apparently, probably, one can see"
против,"against, opposite, facing, contrary to, to, as against"
немного,"a little, some, somewhat, slightly"
разве,"perhaps, unless; indeed, really"
впрочем,however
